year,N_VICTIMAS,accidentes_last_year,reduccion,OBJETIVO
2016,65,,0.0,
2017,56,65.0,13.846153846153847,60.45
2018,57,56.0,-1.7857142857142856,52.080000000000005
2019,50,57.0,12.280701754385964,53.010000000000005
2020,28,50.0,44.0,46.5
2021,46,28.0,-64.28571428571429,26.040000000000003
