year,N_VICTIMAS,accidentes_last_year,reduccion,OBJETIVO
2016,32,,0.0,
2017,30,32.0,6.25,28.8
2018,25,30.0,16.666666666666664,27.0
2019,13,25.0,48.0,22.5
2020,12,13.0,7.6923076923076925,11.700000000000001
2021,24,12.0,-100.0,10.8
