ID,N_VICTIMAS,FECHA_x,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Cruce,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA_y,SEXO,EDAD
2021-0012,1,2021-01-29,20.0,AU DELLEPIANE Y GUAMINI,AUTOPISTA,True,8,-58.48191128,-34.68385968,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,
2021-0013,1,2021-01-31,6.0,"FALCON, RAMON L., CNEL. Y OLIVERA AV.",AVENIDA,True,10,-58.48727942,-34.63652467,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,41.0
2021-0014,1,2021-02-02,0.0,SAN MARTIN AV. Y NOGOYA,AVENIDA,True,15,-58.48328708,-34.59779521,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,28.0
2021-0015,1,2021-02-06,3.0,SAN MARTIN AV. Y TINOGASTA,AVENIDA,True,15,-58.49018543,-34.5972499,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,26.0
2021-0016,1,2021-02-14,5.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y DE LA TORRE, LISANDRO",AVENIDA,True,8,-58.47230127,-34.68482689,AUTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,22.0
2021-0017,1,2021-02-17,4.0,SALTA Y CASEROS AV.,AVENIDA,True,1,-58.38262614,-34.63168269,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,33.0
2021-0018,1,2021-02-20,19.0,"JAURES, JEAN Y PERON, JUAN DOMINGO, TTE. GENERAL",CALLE,True,3,-58.41047268,-34.60793518,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,36.0
2021-0019,1,2021-02-21,1.0,"TRIUNVIRATO AV. Y LARRALDE, CRISOLOGO AV.",AVENIDA,True,12,-58.49659234,-34.56353635,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,30.0
2021-0020,1,2021-02-21,15.0,POTOSI Y GASCON,CALLE,True,5,-58.42462955,-34.60727189,PEATON-CARGAS,CARGAS,PEATON,PEATON,FEMENINO,
2021-0021,1,2021-02-26,5.0,"YRIGOYEN, HIPOLITO Y  24 DE NOVIEMBRE",CALLE,True,3,-58.41168345,-34.61185625,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,39.0
2021-0022,1,2021-02-28,12.0,DEL LIBERTADOR AV. Y ROOSEVELT FRANKLIN D.,AVENIDA,True,13,-58.45157681,-34.55217303,PASAJEROS-SD,,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,68.0
2021-0023,1,2021-03-01,9.0,"AU BUENOS AIRES LA PLATA  KM 4,5",AUTOPISTA,False,4,,,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,24.0
2021-0024,1,2021-03-03,16.0,"PERON, EVA AV. y PIEDRA BUENA AV",AVENIDA,True,9,-58.49573651,-34.67006054,BICICLETA-CARGAS,CARGAS,CICLISTA,BICICLETA,MASCULINO,5.0
2021-0025,1,2021-03-11,3.0,"PAZ, GRAL. AV. y DELLEPIANE, LUIS, TTE. GRAL",GRAL PAZ,True,8,-58.48695354,-34.68795245,MOTO-OTRO,OTRO,CONDUCTOR,MOTO,MASCULINO,37.0
2021-0026,1,2021-03-15,2.0,"AU FRONDIZI ALTURA QUINQUELA MARTIN, BENITO",AUTOPISTA,False,4,-58.37562539,-34.64449357,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,36.0
2021-0027,1,2021-03-16,15.0,"PAZ, GRAL. AV. y DONADO",GRAL PAZ,True,12,-58.49491054,-34.54795581,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,FEMENINO,19.0
2021-0028,1,2021-03-29,17.0,"COREA AV. y TORRES Y TENORIO, PRES",AVENIDA,True,7,-58.44147621,-34.64357704,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,
2021-0029,1,2021-03-31,18.0,"FALCON, RAMON L., CNEL. Y SAN PEDRITO AV.",AVENIDA,True,7,-58.46899119,-34.63215432,AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,26.0
2021-0030,1,2021-04-03,18.0,FINOCHIETTO ENRIQUE DR. 1623,CALLE,False,4,-58.38685612,-34.63455776,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,36.0
2021-0031,1,2021-04-07,10.0,9 DE JULIO AV. E INDEPENDENCIA AV.,AVENIDA,True,1,-58.38113667,-34.61765323,PEATON-CARGAS,CARGAS,PEATON,PEATON,FEMENINO,68.0
2021-0032,1,2021-04-10,19.0,"AU CANTILO Y GUIRALDES, INT.",AUTOPISTA,True,13,-58.44112678,-34.54538956,PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,60.0
2021-0033,1,2021-04-14,17.0,AU 25 DE MAYO ALTURA BAJADA BOEDO AV.,AUTOPISTA,False,5,-58.41595919,-34.62743346,AUTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,33.0
2021-0034,1,2021-04-19,14.0,"ALCORTA, AMANCIO AV. y ZAVALETA",AVENIDA,True,4,-58.40184094,-34.64546845,MOTO-CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,26.0
2021-0035,1,2021-05-03,9.0,"JANER, ANA MARIA Y LAFUENTE AV.",AVENIDA,True,8,-58.44642231,-34.65679806,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,24.0
2021-0036,1,2021-05-09,6.0,"PAZ, GRAL. AV. Y MOSCONI GENERAL AV.",GRAL PAZ,True,11,-58.52340614,-34.59798754,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,36.0
2021-0037,1,2021-05-11,7.0,"MONROE Y BALBIN, RICARDO, DR. AV.",AVENIDA,True,13,-58.46649069,-34.56219075,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,58.0
2021-0038,1,2021-05-14,11.0,"JUSTO, JUAN B. AV. Y SANTA FE AV.",AVENIDA,True,14,-58.42653328,-34.57816791,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,FEMENINO,44.0
2021-0039,1,2021-05-15,12.0,"OLIDEN Y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,True,9,-58.50407099,-34.65303372,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,MASCULINO,86.0
2021-0040,1,2021-05-20,5.0,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,True,13,-58.46743471,-34.53476874,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,27.0
2021-0041,1,2021-05-20,8.0,DEL LIBERTADOR AV. Y CASARES AV.,AVENIDA,True,14,-58.40986646,-34.5772806,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,75.0
2021-0042,1,2021-05-21,5.0,RIVADAVIA AV. 10900,AVENIDA,False,9,-58.51739138,-34.63931792,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,39.0
2021-0043,1,2021-05-22,18.0,"ALBERDI, JUAN BAUTISTA AV. Y PILAR",AVENIDA,True,9,-58.50719962,-34.65556223,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,50.0
2021-0044,1,2021-05-25,2.0,"PERON, EVA AV. Y ACOSTA, MARIANO",AVENIDA,True,9,-58.46712311,-34.64600222,MOTO-OBJETO FIJO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21.0
2021-0045,1,2021-05-26,17.0,AU FRONDIZI Y SUAREZ AV.,AUTOPISTA,False,4,-58.37709334,-34.64035082,MULTIPLE,MULTIPLE,CONDUCTOR,MOTO,MASCULINO,22.0
2021-0046,1,2021-05-31,2.0,EL CANO AV. Y GUZMAN AV.,AVENIDA,True,15,-58.46033141,-34.58569883,AUTO-OBJETO FIJO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,20.0
2021-0047,1,2021-06-02,16.0,"VEDIA, AGUSTIN DE Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,True,4,-58.42190745,-34.65633192,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,59.0
2021-0048,1,2021-06-03,9.0,CAPDEVILLA Y CONGRESO AV.,AVENIDA,True,12,-58.49026573,-34.5698141,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,MASCULINO,44.0
2021-0049,1,2021-06-03,20.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",AVENIDA,False,8,-58.45410344,-34.66902702,AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,74.0
2021-0050,1,2021-06-10,13.0,DEL LIBERTADOR AV. 5958,AVENIDA,False,13,-58.44751621,-34.55719892,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,56.0
2021-0051,1,2021-06-15,19.0,27 DE FEBRERO AV. Y EREZCANO AV.,AVENIDA,True,4,-58.42040352,-34.66005171,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,73.0
2021-0052,1,2021-06-20,5.0,"PAZ, GRAL. AV. 14723",GRAL PAZ,False,8,-58.49530249,-34.68010798,MOTO-OBJETO FIJO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19.0
2021-0053,1,2021-06-20,12.0,CORRIENTES AV. 5783,AVENIDA,False,15,-58.44399875,-34.5947736,PEATON-BICICLETA,BICICLETA,PEATON,PEATON,MASCULINO,58.0
2021-0054,1,2021-06-22,14.0,TABARE Y EREZCANO,CALLE,True,4,-58.42759813,-34.65463857,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,41.0
2021-0055,1,2021-06-29,12.0,CORRIENTES AV. Y PUEYRREDOR AV.,AVENIDA,True,3,-58.40547222,-34.60456293,MOTO-CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,47.0
2021-0056,1,2021-07-09,23.0,"CORRALES Y MORENO, PERITO AV.",AVENIDA,True,4,-58.42473018,-34.6500828,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,MASCULINO,60.0
2021-0057,1,2021-07-10,23.0,"AU ILLIA KM 3.2, ALTURA CABINAS DE PEAJE",AUTOPISTA,False,2,-58.39257023,-34.57563957,AUTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,46.0
2021-0058,1,2021-07-21,0.0,AV. GRAL. PAZ Y VEDIA,GRAL PAZ,True,12,-58.48941042,-34.54596153,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,24.0
2021-0059,1,2021-07-22,1.0,"GARAY, JUAN DE AV. 2269",AVENIDA,False,3,-58.3964074,-34.62783085,AUTO-OBJETO FIJO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,44.0
2021-0060,1,2021-07-22,12.0,"SALGUERO, JERONIMO Y RIVADAVIA AV.",AVENIDA,True,5,-58.41971993,-34.6111224,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,80.0
2021-0061,1,2021-07-24,9.0,"MORENO, PERITO AV. Y ALCORTA, AMANCIO AV.",AVENIDA,True,4,-58.40544588,-34.65012801,PEATON-CARGAS,CARGAS,PEATON,PEATON,FEMENINO,55.0
2021-0062,1,2021-07-27,7.0,LA PLATA AV. 2723,AVENIDA,False,4,-58.42003882,-34.64645957,AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,73.0
2021-0063,1,2021-08-02,4.0,"ALBERDI, JUAN BAUTISTA AV. 2906",AVENIDA,False,7,-58.46851293,-34.63348678,AUTO-AUTO,AUTO,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,31.0
2021-0064,1,2021-08-02,20.0,"PAZ, GRAL. AV. Y TONELERO",GRAL PAZ,True,9,-58.52931141,-34.65422917,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,37.0
2021-0065,1,2021-08-06,8.0,Av. SAN JUAN Y AV. LA PLATA,AVENIDA,True,6,-58.42675754,-34.6269973,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,63.0
2021-0066,1,2021-08-06,20.0,Av. LOPE DE VEGA Y AV. GRAL. PAZ,AVENIDA,True,11,-58.52933723,-34.61098186,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,59.0
2021-0067,1,2021-08-08,9.0,"AU FRONDIZI KM 2,9 (ALTURA BRASIL)",AUTOPISTA,False,1,-58.37910943,-34.62764718,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,27.0
2021-0068,1,2021-08-15,6.0,"BEIRO, FRANCISCO AV. 5071",AVENIDA,False,11,-58.52161176,-34.61164474,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,39.0
2021-0069,1,2021-08-20,17.0,AV. SANTA FE 3428,AVENIDA,False,14,-58.41354692,-34.5869768,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,17.0
2021-0070,1,2021-08-28,8.0,"CHILAVERT, MARTINIANO, CORONEL Y VARELA AV.",AVENIDA,True,8,-58.43960781,-34.65470804,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,31.0
2021-0071,1,2021-08-31,16.0,SAN LUIS 2730,CALLE,False,3,-58.4045461,-34.60003693,PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,88.0
2021-0072,1,2021-09-01,19.0,CALLAO AV. Y PARAGUAY,AVENIDA,True,2,-58.39303911,-34.59871111,PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,57.0
2021-0073,1,2021-09-18,12.0,"DEL LIBERTADOR AV. Y AGOTE, LUIS DR.",AVENIDA,True,2,-58.39391034,-34.58405348,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,FEMENINO,76.0
2021-0074,1,2021-09-20,15.0,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV.",GRAL PAZ,True,12,-58.5007381,-34.5497951,MULTIPLE,MULTIPLE,CONDUCTOR,MOTO,MASCULINO,55.0
2021-0075,1,2021-09-21,14.0,SALTA Y BRASIL,CALLE,True,1,-58.38281301,-34.62786038,PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,65.0
2021-0076,1,2021-10-16,6.0,"MORENO, PERITO AV. 2152",AVENIDA,False,7,-58.43980799,-34.65094083,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,31.0
2021-0077,1,2021-10-18,7.0,DIRECTORIO AV. 1169,AVENIDA,False,6,-58.44402387,-34.62933109,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,FEMENINO,31.0
2021-0078,1,2021-10-23,6.0,INDEPENDENCIA AV. Y LA PLATA AV.,AVENIDA,True,6,-58.42779702,-34.62207347,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,22.0
2021-0079,1,2021-10-25,3.0,TUCUMAN 3112,CALLE,False,3,-58.40944147,-34.60097942,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,
2021-0080,1,2021-10-28,16.0,ARENALES Y 9 DE JULIO AV.,AVENIDA,True,1,-58.38277479,-34.5943016,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,32.0
2021-0081,1,2021-11-02,13.0,AU FRONDIZI SUBIDA BRANDSEN,AUTOPISTA,False,4,-58.37627355,-34.63800916,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,26.0
2021-0082,1,2021-11-06,4.0,AU 25 DE MAYO KM7 (ALTURA PASCO),AUTOPISTA,False,3,-58.39591856,-34.62453459,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,38.0
2021-0083,1,2021-11-09,0.0,CABILDO AV. Y OLAZABAL,AVENIDA,True,13,-58.45829717,-34.56015762,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,30.0
2021-0084,1,2021-11-11,3.0,TAPALQUE Y BRUIX AV.,AVENIDA,True,9,-58.49142611,-34.64584795,AUTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,32.0
2021-0085,1,2021-11-20,18.0,"PAZ, GRAL. AV. Y EZEIZA",GRAL PAZ,True,12,-58.51271409,-34.57786555,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,49.0
2021-0086,1,2021-11-25,10.0,RIVADAVIA AV. Y PUAN,AVENIDA,True,6,-58.44864864,-34.62352826,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,75.0
2021-0087,1,2021-11-27,11.0,ESMERALDA 1359,CALLE,False,1,-58.37795815,-34.59167894,PEATON-BICICLETA,BICICLETA,PEATON,PEATON,FEMENINO,73.0
2021-0088,1,2021-12-01,15.0,AV. MOROE Y 3 DE FEBRERO,CALLE,True,13,-58.45531707,-34.55555257,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,45.0
2021-0089,1,2021-12-02,1.0,AV. GAONA 3655,AVENIDA,False,11,-58.47633683,-34.62140594,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,41.0
2021-0090,1,2021-12-10,11.0,AV. 9 DE JULIO Y LAVALLE,AVENIDA,True,1,-58.38188582,-34.60256036,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,73.0
2021-0091,1,2021-12-11,23.0,BAIGORRIA Y VICTOR HUGO,CALLE,True,10,-58.51989389,-34.62284918,MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,24.0
2021-0092,1,2021-12-12,6.0,AV. RIVADAVIA Y AV. PUEYRREDON,AVENIDA,True,3,-58.4059686,-34.61011987,PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,50.0
2021-0093,1,2021-12-13,17.0,AV. RIESTRA Y MOM,AVENIDA,True,7,-58.43353773,-34.64561636,MOTO-AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,18.0
2021-0094,1,2021-12-20,1.0,AU DELLEPIANE Y LACARRA,AUTOPISTA,True,9,-58.46739825,-34.65117757,MOTO-AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,43.0
2021-0095,1,2021-12-30,0.0,AV. GAONA Y TERRADA,AVENIDA,True,11,-58.47293407,-34.61984745,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,27.0
2021-0096,1,2021-12-15,10.0,AV. EVA PERON 4071,AVENIDA,False,9,-58.47066794,-34.65021673,AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,60.0
2021-0097,1,2021-11-18,6.0,PADRE CARLOS MUJICA 709,CALLE,False,1,-58.37976155,-34.58679619,BICICLETA-AUTO,AUTO,CICLISTA,BICICLETA,MASCULINO,53.0
