ID,N_VICTIMAS,FECHA_x,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Cruce,COMUNA,pos x,pos y,PARTICIPANTES,ACUSADO,ROL,VICTIMA_y,SEXO,EDAD
2020-0002,1,2020-01-05,20.0,SARAZA Y VARELA AV.,AVENIDA,True,7,-58.45019436,-34.64646409,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,36.0
2020-0003,1,2020-01-11,6.0,RIVADAVIA AV. Y COMBATE DE LOS POZOS,AVENIDA,True,3,-58.39337644,-34.60927582,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,44.0
2020-0004,1,2020-01-14,21.0,RODRIGUEZ PEÑA Y RIVADAVIA AV.,AVENIDA,True,1,-58.39055614,-34.60919284,PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,82.0
2020-0005,1,2020-01-14,6.0,24 DE NOVIEMBRE Y SAN JUAN AV.,AVENIDA,True,3,-58.41036975,-34.62477021,MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,25.0
2020-0006,1,2020-01-20,12.0,LAFUENTE AV. 2250,AVENIDA,False,8,-58.44925765,-34.65412546,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,23.0
2020-0007,1,2020-01-27,0.0,CHILE Y LIMA ,CALLE,True,1,-58.3815685,-34.61648696,PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,52.0
2020-0008,1,2020-01-30,7.0,CORDOBA AV. Y JEAN JAURES,AVENIDA,True,2,-58.40662899,-34.59804521,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,49.0
2020-0009,1,2020-02-04,14.0,"PERON, JUAN DOMINGO, TTE. GENERAL Y SALGUERO, JERONIMO",CALLE,True,5,-58.41985649,-34.6060085,PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,48.0
2020-0010,1,2020-02-08,5.0,9 DE JULIO AV. Y SAN JUAN AV.,AVENIDA,True,1,-58.38099833,-34.62214953,MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,
2020-0011,1,2020-02-12,11.0,COLOMBRES 466,CALLE,False,5,-58.41803309,-34.61823178,MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,31.0
