year,semestre,N_VICTIMAS,tasa_homicidios,OBJETIVO
2016,1,65,2.0821941328894735,0.0
2016,2,79,2.5306667153579756,1.87
2017,1,69,2.2103291564519028,2.28
2017,2,71,2.274396668233117,1.99
2018,1,70,2.24236291234251,2.05
2018,2,79,2.5306667153579756,2.02
2019,1,57,1.8259240857646153,2.28
2019,2,47,1.5055865268585424,1.64
2020,1,31,0.993046432608826,1.36
2020,2,50,1.6016877945303643,0.89
2021,1,55,1.7618565739834007,1.44
2021,2,42,1.345417747405506,1.59
